date,id,source,type
2016-03-10,0,rgonek,proj
2016-03-10,0,rgonek,proj
2016-03-17,0,rgonek,proj
2016-03-18,0,rgonek,proj
2016-03-19,0,rgonek,proj
2016-03-19,0,rgonek,proj
2016-03-19,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-21,0,rgonek,proj
2016-03-14,0,dachowiec,proj
2016-03-14,0,dachowiec,proj
2016-03-15,0,dachowiec,proj
2016-03-17,0,dachowiec,proj
2016-03-18,0,dachowiec,proj
2016-03-18,0,dachowiec,proj
2016-03-18,0,dachowiec,proj
2016-03-18,0,dachowiec,proj
2016-03-19,0,dachowiec,proj
2016-03-20,0,dachowiec,proj
2016-03-21,0,dachowiec,proj
2016-03-25,0,dachowiec,proj
2016-03-25,0,dachowiec,proj
2016-03-26,0,dachowiec,proj
2016-03-26,0,dachowiec,proj
2016-04-01,0,dachowiec,proj
2016-04-03,0,dachowiec,proj
2016-04-06,0,dachowiec,proj
2016-04-06,0,dachowiec,proj
2016-04-06,0,dachowiec,proj
2016-04-06,0,dachowiec,proj
2016-04-07,0,dachowiec,proj
2016-04-14,0,dachowiec,proj
2016-04-14,0,dachowiec,proj
2016-04-14,0,dachowiec,proj
2016-03-04,0,quintasan,proj
2016-03-04,0,quintasan,proj
2016-03-04,0,quintasan,proj
2016-03-04,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-12,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-03-26,0,quintasan,proj
2016-04-03,0,quintasan,proj
2016-04-05,0,quintasan,proj
2016-04-05,0,quintasan,proj
2016-04-05,0,quintasan,proj
2016-03-03,0,lorow,proj
2016-03-22,0,lorow,proj
2016-03-24,0,lorow,proj
2016-03-26,0,lorow,proj
2016-03-27,0,lorow,proj
2016-03-31,0,lorow,proj
2016-04-01,0,lorow,proj
2016-04-08,0,lorow,proj
2016-04-10,0,lorow,proj
2016-04-11,0,lorow,proj
2016-04-15,0,lorow,proj
2016-04-17,0,lorow,proj
2016-04-21,0,lorow,proj
2016-04-23,0,lorow,proj
2016-05-01,0,lorow,proj
2016-05-05,0,lorow,proj
2016-05-07,0,lorow,proj
2016-05-13,0,lorow,proj
2016-05-14,0,lorow,proj
2016-06-01,0,lorow,proj
2016-03-01,0,malezoltekrety,proj
2016-03-01,0,piatkosia,proj
2016-03-08,0,piatkosia,proj
2016-03-08,0,piatkosia,proj
2016-05-30,0,wolfman12333,proj
2016-03-06,0,rolldev,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-19,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-20,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-21,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-22,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-23,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-24,0,chyla,proj
2016-05-25,0,chyla,proj
2016-05-26,0,chyla,proj
2016-05-26,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-27,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-28,0,chyla,proj
2016-05-29,0,chyla,proj
2016-05-29,0,chyla,proj
2016-05-29,0,chyla,proj
2016-05-29,0,chyla,proj
2016-05-29,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-30,0,chyla,proj
2016-05-31,0,chyla,proj
2016-05-31,0,chyla,proj
2016-05-31,0,chyla,proj
2016-06-01,0,chyla,proj
2016-06-02,0,chyla,proj
2016-04-26,0,chyla,proj
2016-04-26,0,chyla,proj
2016-04-26,0,chyla,proj
2016-04-27,0,chyla,proj
2016-04-27,0,chyla,proj
2016-04-27,0,chyla,proj
2016-04-27,0,chyla,proj
2016-04-29,0,chyla,proj
2016-04-29,0,chyla,proj
2016-05-02,0,chyla,proj
2016-05-03,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-04,0,chyla,proj
2016-05-05,0,chyla,proj
2016-05-05,0,chyla,proj
2016-05-05,0,chyla,proj
2016-05-06,0,chyla,proj
2016-05-06,0,chyla,proj
2016-05-06,0,chyla,proj
2016-05-06,0,chyla,proj
2016-05-07,0,chyla,proj
2016-05-08,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-09,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-10,0,chyla,proj
2016-05-11,0,chyla,proj
2016-05-11,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-12,0,chyla,proj
2016-05-14,0,chyla,proj
2016-05-14,0,chyla,proj
2016-05-14,0,chyla,proj
2016-05-14,0,chyla,proj
2016-05-16,0,chyla,proj
2016-05-16,0,chyla,proj
2016-05-16,0,chyla,proj
2016-05-16,0,chyla,proj
2016-05-16,0,chyla,proj
